名称,标签,地址,简介,图片URL,详情页
鲜花饼,烘烤类,东四北大街126号,鲜花饼是以云南特有的食用玫瑰花入料的酥饼，是具有云南特色的云南经典点心代表。,https://r1.visitbeijing.com.cn/vbj-s/2017/0511/20170511053909184.jpg,https://s.visitbeijing.com.cn/food/407
豆奶蛋糕,烘烤类,—,豆奶蛋糕是一道由蛋白、细砂糖、豆浆等食材制成的美食。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510052035322.jpg,https://s.visitbeijing.com.cn/food/403
桃酥,烘烤类,前门大街59号,桃酥是一种南北皆宜的乐平传统特色小吃，以其干、酥、脆、甜的特点闻名全国，主要成分是面粉、鸡蛋、奶油等。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510051820288.jpg,https://s.visitbeijing.com.cn/food/402
提子酥,烘烤类,—,提子酥是一道由普通面粉、黄油等食材制成的美食。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510051636534.jpg,https://s.visitbeijing.com.cn/food/401
糖醇蛋糕,烘烤类,东四北大街126号,糖醇蛋糕是一道美味的菜肴，烹饪简单。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510051433139.jpg,https://s.visitbeijing.com.cn/food/400
老婆饼,烘烤类,东四北大街126号,老婆饼是一种特色传统名点，是用料最少、做工最简且最为人们所熟知的饼类。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510051249452.jpg,https://s.visitbeijing.com.cn/food/399
牛肉肉松,烘烤类,东四北大街126号,牛肉肉松是一道美食，主要原料为高筋面粉、低筋面粉、牛肉、鸡蛋等。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510051107704.jpg,https://s.visitbeijing.com.cn/food/398
戚风红豆蛋糕,烘烤类,东四北大街126号,戚风红豆蛋糕 [qī fēng] 是英文Chiffon Cake的音译，属海绵蛋糕类型，质地非常轻，用菜油、鸡蛋、红豆、糖、面粉、发粉为基本材料。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510050857450.jpg,https://s.visitbeijing.com.cn/food/397
蛋卷,烘烤类,—,蛋卷又称瑞士蛋卷、奶油蛋卷。用面粉、鸡蛋液、白糖拌成面糊，加牛油烤成片状，抹上黄油，再卷成筒而成。色泽金黄偏红，质松软，呈海绵状，蛋糖香味浓郁。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510025828583.jpg,https://s.visitbeijing.com.cn/food/395
牛肉松蛋糕,烘烤类,—,牛肉松蛋糕是指在蛋糕的基础上，添加肉松作为辅料而做成的蛋糕。,https://r1.visitbeijing.com.cn/vbj-s/2017/0510/20170510025604578.jpg,https://s.visitbeijing.com.cn/food/394
